title,rate,num,info,director,actor,time,country,type
阳光姐妹淘,8.8,554980人,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,姜炯哲Hyeong-CheolKang,沈恩京Eun-kyungShim,2011,韩国,剧情
射雕英雄传之东成西就,8.7,581149人,百看不厌。 ,刘镇伟JeffreyLau,梁朝伟TonyLeungChiuWai,1993,中国香港,喜剧
被解救的姜戈,8.8,552338人,热血沸腾，那个低俗、性感的无耻混蛋又来了。,昆汀·塔伦蒂诺QuentinTarantino,杰米·福克斯JamieFoxx,2012,美国,剧情
未麻的部屋,9.0,281715人,好的剧本是，就算你猜到了结局也猜不到全部。,今敏SatoshiKon,岩男润子JunkoIwao,1997,日本,动画
恐怖直播,8.7,593907人,恐怖分子的“秋菊打官司”。,金秉祐Byeong-wooKim,河正宇Jung-wooHa,2013,韩国,剧情
哪吒闹海,9.1,232239人,想你时你在闹海。,王树忱ShuchenWang,梁正晖Zhenghui,1979,中国大陆,冒险
我是山姆,9.0,303610人,爱并不需要智商 。,杰茜·尼尔森JessieNelson,SeanPenn,2001,美国,剧情
血战钢锯岭,8.7,723153人,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,梅尔·吉布森MelGibson,安德鲁·加菲尔德AndrewGarfield,2016,澳大利亚,剧情
哈利·波特与火焰杯,8.7,569623人,电影详细信息不详,迈克·内威尔MikeNewell,丹尼尔·雷德克里夫DanielRadclif,2005,英国,悬疑
头号玩家,8.7,1248751人,写给影迷，动漫迷和游戏迷的一封情书。,史蒂文·斯皮尔伯格StevenSpielberg,泰伊·谢里丹TyeSheri,2018,美国,动作
新世界,8.9,357656人,要做就做得狠一点，这样才能活下去。,朴勋政Hoon-jungPark,李政宰Jung-JaeLee,2013,韩国,剧情
七武士,9.3,176808人,时代悲歌。,黑泽明AkiraKurosawa,三船敏郎ToshirôMifune,1954,日本,动作
模仿游戏,8.7,578879人,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,莫滕·泰杜姆MortenTyldum,本尼迪克特·康伯巴奇BenedictC,2014,英国,剧情
喜宴,8.9,317282人,中国家庭的喜怒哀乐忍。,李安AngLee,赵文瑄WinstonChao,1993,中国台湾,剧情
黑客帝国3：矩阵革命,8.8,409938人,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,拉娜·沃卓斯基LanaWachowski,,2003,美国,动作
花样年华,8.7,536778人,偷情本没有这样美。,王家卫KarWaiWong,梁朝伟TonyLeungChiuWai,2000,中国香港,剧情
头脑特工队,8.8,548582人,愿我们都不用长大，每一座城堡都能永远存在。,彼特·道格特PeteDocter,演职人员不详,2015,美国,喜剧
电锯惊魂,8.7,479215人,真相就在眼前。,詹姆斯·温JamesWan,雷·沃纳尔LeighWhannell,2004,美国,悬疑
三块广告牌,8.7,754554人,怼天怼地，你走后，她与世界为敌。,马丁·麦克唐纳MartinMcDonagh,弗兰西斯·麦克多蒙德France,2017,美国,剧情
卢旺达饭店,8.9,295969人,当这个世界闭上双眼，他却敞开了怀抱。,特瑞·乔治TerryGeorge,唐·钱德尔DonCheadle,2004,英国,剧情
你的名字。,8.5,1261322人,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,新海诚MakotoShinkai,神木隆之介RyûnosukeKamiki,2016,日本,剧情
达拉斯买家俱乐部,8.8,414053人,Jared Leto的腿比女人还美！,让-马克·瓦雷Jean-MarcVallée,马修·麦康纳MatthewMcCon,2013,美国,剧情
疯狂原始人,8.7,773476人,老少皆宜，这就是好莱坞动画的魅力。,科克·德·米科KirkDeMicco,演职人员不详,2013,美国,喜剧
上帝之城,9.0,278166人,被上帝抛弃了的上帝之城。,费尔南多·梅里尔斯FernandoMeirelles,演职人员不详,2002,巴西,犯罪
谍影重重3,8.8,384833人,像吃了苏打饼一样干脆的电影。,保罗·格林格拉斯PaulGreengrass,马特·达蒙MattDamon,2007,美国,动作
英雄本色,8.6,481860人,英雄泪短，兄弟情长。 ,吴宇森JohnWoo,周润发Yun-FatChow,1986,中国香港,剧情
风之谷,8.9,329579人,动画片的圣经。,宫崎骏HayaoMiyazaki,岛本须美SumiShimamoto,1984,日本,动画
心迷宫,8.7,464883人,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,忻钰坤YukunXin,霍卫民WeiminHuo,2014,中国大陆,剧情
惊魂记,9.0,249764人,故事的反转与反转，分裂电影的始祖。,阿尔弗雷德·希区柯克AlfredHitchcock,安东尼·博金斯Antho,1960,美国,悬疑
